"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","Starting Salary","Current Salary","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"388",40,"No","Travel_Rarely",759,"Sales",2,2,"Marketing",1,516,4,"Female",46,3,2,"Sales Executive",2,"Divorced",22860,90212,7,"Y","No",12,3,3,80,2,8,5,3,5,4,1,3
"967",58,"Yes","Travel_Rarely",601,"Research & Development",7,4,"Medical",1,1360,3,"Female",53,2,3,"Manufacturing Director",1,"Married",40032,48092,7,"Y","Yes",14,3,4,80,0,31,0,2,10,9,5,9
"415",24,"Yes","Travel_Rarely",1448,"Sales",1,1,"Technical Degree",1,554,1,"Female",62,3,1,"Sales Representative",2,"Single",12808,87888,1,"Y","Yes",16,3,2,80,0,6,4,3,5,3,1,4
"311",31,"No","Travel_Rarely",106,"Human Resources",2,3,"Human Resources",1,424,1,"Male",62,2,2,"Human Resources",1,"Married",25640,71288,3,"Y","No",12,3,4,80,0,9,1,3,2,2,1,0
"404",41,"No","Travel_Rarely",645,"Sales",1,3,"Marketing",1,534,2,"Male",49,4,3,"Sales Executive",1,"Married",33568,78264,1,"Y","No",16,3,3,80,1,10,2,3,10,7,0,7
"85",34,"No","Travel_Rarely",1153,"Research & Development",1,2,"Medical",1,110,1,"Male",94,3,2,"Manufacturing Director",2,"Married",17300,70944,1,"Y","No",15,3,3,80,0,5,2,3,5,2,1,3
"90",46,"Yes","Travel_Rarely",669,"Sales",9,2,"Medical",1,118,3,"Male",64,2,3,"Sales Executive",4,"Single",38476,54384,1,"Y","No",16,3,4,80,0,9,3,3,9,8,4,7
"1158",35,"No","Non-Travel",208,"Research & Development",8,4,"Life Sciences",1,1630,3,"Female",52,3,2,"Healthcare Representative",3,"Married",16592,49000,1,"Y","No",12,3,4,80,1,15,5,3,14,11,2,9
"425",57,"No","Travel_Rarely",210,"Sales",29,3,"Marketing",1,568,1,"Male",56,2,4,"Manager",4,"Divorced",56472,88408,3,"Y","No",12,3,3,80,1,32,3,2,1,0,0,0
"1040",34,"Yes","Travel_Rarely",1107,"Human Resources",9,4,"Technical Degree",1,1467,1,"Female",52,3,1,"Human Resources",3,"Married",10968,12288,1,"Y","No",15,3,4,80,0,2,0,3,2,2,2,2
"582",30,"No","Travel_Rarely",921,"Research & Development",1,3,"Life Sciences",1,806,4,"Male",38,1,1,"Laboratory Technician",3,"Married",15332,97500,3,"Y","No",21,4,3,80,2,7,2,3,2,2,0,2
"539",41,"No","Travel_Rarely",314,"Human Resources",1,3,"Human Resources",1,734,4,"Male",59,2,5,"Manager",3,"Married",76756,78248,1,"Y","No",12,3,2,80,1,22,3,3,22,7,2,10
"78",45,"No","Travel_Rarely",193,"Research & Development",6,4,"Other",1,101,4,"Male",52,3,3,"Research Director",1,"Married",52980,60268,4,"Y","Yes",14,3,2,80,0,17,3,4,0,0,0,0
"510",33,"No","Travel_Frequently",1296,"Research & Development",6,3,"Life Sciences",1,692,3,"Male",30,3,2,"Healthcare Representative",4,"Divorced",30900,21340,3,"Y","No",23,4,3,80,1,15,2,1,13,11,4,7
"1441",36,"No","Travel_Frequently",688,"Research & Development",4,2,"Life Sciences",1,2025,4,"Female",97,3,2,"Manufacturing Director",2,"Divorced",20524,36768,7,"Y","No",13,3,2,80,3,18,3,3,4,2,0,2
"1280",44,"Yes","Travel_Frequently",429,"Research & Development",1,2,"Medical",1,1792,3,"Male",99,3,1,"Research Scientist",2,"Divorced",9368,44368,1,"Y","Yes",12,3,3,80,3,6,2,2,5,3,2,3
"1330",29,"No","Travel_Rarely",352,"Human Resources",6,1,"Medical",1,1865,4,"Male",87,2,1,"Human Resources",2,"Married",11216,61736,1,"Y","No",11,3,4,80,0,1,3,3,1,0,0,0
"642",32,"No","Travel_Frequently",379,"Sales",5,2,"Life Sciences",1,889,2,"Male",48,3,2,"Sales Executive",2,"Married",26096,35564,1,"Y","No",14,3,4,80,1,10,3,3,10,8,5,3
"742",42,"No","Travel_Rarely",265,"Sales",5,2,"Marketing",1,1029,4,"Male",90,3,5,"Manager",3,"Married",73212,31080,6,"Y","No",13,3,2,80,0,21,3,4,1,0,0,0
"590",29,"Yes","Travel_Rarely",805,"Research & Development",1,2,"Life Sciences",1,816,2,"Female",36,2,1,"Laboratory Technician",1,"Married",9276,26756,1,"Y","Yes",11,3,4,80,1,1,1,3,1,0,0,0
"1206",32,"Yes","Travel_Rarely",1259,"Research & Development",2,4,"Life Sciences",1,1692,4,"Male",95,3,1,"Laboratory Technician",2,"Single",5572,99408,1,"Y","No",12,3,1,80,0,1,2,3,1,0,0,0
"1031",31,"No","Travel_Rarely",326,"Sales",8,2,"Life Sciences",1,1453,1,"Male",31,3,3,"Sales Executive",4,"Divorced",43172,33544,1,"Y","No",18,3,1,80,1,13,5,3,13,7,9,9
"1008",29,"Yes","Travel_Frequently",337,"Research & Development",14,1,"Other",1,1421,3,"Female",84,3,3,"Healthcare Representative",4,"Single",30212,91720,0,"Y","Yes",12,3,1,80,0,9,1,3,8,7,7,7
"153",53,"No","Travel_Rarely",1436,"Sales",6,2,"Marketing",1,205,2,"Male",34,3,2,"Sales Representative",3,"Married",9224,64188,2,"Y","Yes",20,4,4,80,1,13,3,1,7,7,4,5
"620",33,"No","Travel_Rarely",586,"Sales",1,3,"Medical",1,855,1,"Male",48,4,2,"Sales Executive",1,"Divorced",16148,87264,1,"Y","No",22,4,1,80,1,9,5,3,9,8,0,8
"527",39,"No","Travel_Rarely",408,"Research & Development",2,4,"Technical Degree",1,721,4,"Female",80,2,2,"Healthcare Representative",3,"Single",18212,83912,1,"Y","No",11,3,1,80,0,20,4,3,20,7,11,10
"407",52,"No","Travel_Rarely",319,"Research & Development",3,3,"Medical",1,543,4,"Male",39,2,3,"Manufacturing Director",3,"Married",31876,78436,2,"Y","Yes",14,3,3,80,0,28,4,3,5,4,0,4
"1345",37,"No","Travel_Rarely",783,"Research & Development",7,4,"Medical",1,1885,4,"Male",78,3,2,"Research Scientist",1,"Married",17136,54352,5,"Y","Yes",22,4,3,80,1,16,2,3,5,3,0,4
"1177",49,"No","Travel_Rarely",301,"Research & Development",22,4,"Other",1,1655,1,"Female",72,3,4,"Research Director",2,"Married",65652,13992,3,"Y","No",16,3,2,80,2,27,2,3,4,2,1,2
"104",34,"No","Travel_Rarely",665,"Research & Development",6,4,"Other",1,138,1,"Female",41,3,2,"Research Scientist",3,"Single",19236,49928,1,"Y","No",14,3,3,80,0,16,3,3,16,13,2,10
"82",35,"No","Travel_Rarely",1214,"Research & Development",1,3,"Medical",1,105,2,"Male",30,2,1,"Research Scientist",3,"Single",11436,105112,1,"Y","No",18,3,1,80,0,6,3,3,6,4,0,4
"73",31,"No","Travel_Rarely",1082,"Research & Development",1,4,"Medical",1,95,3,"Male",87,3,1,"Research Scientist",2,"Single",10004,75100,1,"Y","No",17,3,2,80,0,1,4,3,1,1,1,0
"1095",40,"No","Travel_Rarely",1342,"Sales",9,2,"Medical",1,1548,1,"Male",47,3,2,"Sales Executive",1,"Married",21892,77380,0,"Y","No",12,3,4,80,0,9,5,4,8,4,7,1
"564",25,"No","Travel_Rarely",883,"Sales",26,1,"Medical",1,781,3,"Female",32,3,2,"Sales Executive",4,"Single",24720,91228,1,"Y","No",23,4,2,80,0,6,5,2,6,5,1,4
"787",27,"No","Non-Travel",1277,"Research & Development",8,5,"Life Sciences",1,1094,1,"Male",87,1,1,"Laboratory Technician",3,"Married",18484,23476,1,"Y","No",19,3,4,80,3,3,4,3,3,2,1,2
"929",44,"Yes","Travel_Rarely",621,"Research & Development",15,3,"Medical",1,1295,1,"Female",73,3,3,"Healthcare Representative",4,"Married",31912,56300,1,"Y","No",11,3,4,80,1,10,2,3,10,7,0,5
"1006",29,"No","Travel_Rarely",332,"Human Resources",17,3,"Other",1,1419,2,"Male",51,2,3,"Human Resources",1,"Single",31952,39076,1,"Y","No",13,3,1,80,0,10,3,2,10,9,0,9
"43",26,"Yes","Travel_Rarely",1357,"Research & Development",25,3,"Life Sciences",1,55,1,"Male",48,1,1,"Laboratory Technician",3,"Single",9172,42232,1,"Y","No",12,3,3,80,0,1,2,2,1,0,0,1
"222",33,"No","Travel_Rarely",147,"Research & Development",4,4,"Medical",1,305,3,"Female",47,2,1,"Research Scientist",2,"Married",10488,52992,6,"Y","No",21,4,4,80,0,7,3,3,3,2,1,1
"851",32,"No","Non-Travel",862,"Sales",2,1,"Life Sciences",1,1190,3,"Female",76,3,1,"Sales Representative",1,"Divorced",11308,59788,1,"Y","No",12,3,3,80,3,1,3,3,1,0,0,0
"1195",47,"No","Travel_Rarely",1225,"Sales",2,4,"Life Sciences",1,1676,2,"Female",47,4,4,"Manager",2,"Divorced",63888,84344,6,"Y","No",14,3,3,80,3,29,2,3,3,2,1,2
"437",33,"Yes","Travel_Rarely",587,"Research & Development",10,1,"Medical",1,584,1,"Male",38,1,1,"Laboratory Technician",4,"Divorced",13632,26820,7,"Y","No",13,3,1,80,3,8,2,3,4,3,1,3
"549",43,"No","Travel_Frequently",775,"Sales",15,3,"Life Sciences",1,754,4,"Male",47,2,2,"Sales Executive",4,"Married",27216,94732,3,"Y","No",18,3,3,80,1,7,5,3,2,2,2,2
"1353",44,"No","Travel_Rarely",170,"Research & Development",1,4,"Life Sciences",1,1903,2,"Male",78,4,2,"Healthcare Representative",1,"Married",20132,37456,2,"Y","No",15,3,4,80,1,10,5,3,2,0,2,2
"865",41,"Yes","Non-Travel",906,"Research & Development",5,2,"Life Sciences",1,1210,1,"Male",95,2,1,"Research Scientist",1,"Divorced",8428,81172,6,"Y","No",17,3,1,80,1,5,2,1,1,0,0,0
"685",40,"No","Travel_Rarely",658,"Sales",10,4,"Marketing",1,954,1,"Male",67,2,3,"Sales Executive",2,"Divorced",38820,82608,2,"Y","No",12,3,2,80,1,11,2,2,1,0,0,0
"271",55,"No","Travel_Rarely",452,"Research & Development",1,3,"Medical",1,374,4,"Male",81,3,5,"Manager",1,"Single",76180,75752,0,"Y","Yes",14,3,3,80,0,37,2,3,36,10,4,13
"298",35,"No","Travel_Rarely",1232,"Sales",16,3,"Marketing",1,406,3,"Male",96,3,3,"Sales Executive",2,"Married",32080,20400,0,"Y","No",15,3,3,80,2,12,3,2,11,9,6,9
"1077",54,"No","Travel_Frequently",1050,"Research & Development",11,4,"Medical",1,1520,2,"Female",87,3,4,"Manager",4,"Divorced",64128,97824,3,"Y","No",20,4,1,80,1,26,2,3,14,9,1,12
"1142",30,"No","Travel_Rarely",241,"Research & Development",7,3,"Medical",1,1609,2,"Male",48,2,1,"Research Scientist",2,"Married",8564,21392,1,"Y","No",12,3,2,80,1,6,3,2,6,4,1,1
"74",32,"No","Travel_Rarely",548,"Research & Development",1,3,"Life Sciences",1,96,2,"Male",66,3,2,"Research Scientist",2,"Married",24880,29384,1,"Y","No",17,3,2,80,2,10,3,3,10,4,0,9
"1242",32,"No","Travel_Rarely",371,"Sales",19,3,"Life Sciences",1,1739,4,"Male",80,1,3,"Sales Executive",3,"Married",38440,15360,3,"Y","No",13,3,3,80,1,10,2,1,4,3,0,2
"411",30,"No","Travel_Rarely",317,"Research & Development",2,3,"Life Sciences",1,548,3,"Female",43,1,2,"Manufacturing Director",4,"Single",24364,99172,2,"Y","No",20,4,3,80,0,11,2,3,5,4,0,2
"686",26,"No","Travel_Frequently",1283,"Sales",1,3,"Medical",1,956,3,"Male",52,2,2,"Sales Executive",1,"Single",17176,44592,1,"Y","No",12,3,2,80,0,7,2,3,7,7,0,7
